latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,sensor,brightness,bright_t31,province
-0.4164,116.8545,,1.1,1.0,2026-01-13,713,Aqua,MODIS,72,61.03,,10.5,D,0,MODIS_SP,316.8,293.8,Kalimantan Timur
-0.5221,116.1431,,1.2,1.1,2026-01-13,713,Aqua,MODIS,88,61.03,,39.3,D,0,MODIS_SP,335.6,294.3,Kalimantan Timur
-1.30101,113.39301,310.75,0.47,0.48,2026-01-13,1731,N,VIIRS,n,2.0,286.74,1.65,N,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.88536,115.25632,322.59,0.52,0.41,2026-01-13,1731,N,VIIRS,n,2.0,277.95,2.91,N,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.8967,115.867,,1.0,1.0,2026-01-13,122,Terra,MODIS,74,61.03,,11.3,D,2,MODIS_SP,315.2,283.6,Kalimantan Selatan
-2.99911,115.20396,297.72,0.52,0.41,2026-01-13,1731,N,VIIRS,n,2.0,273.97,0.58,N,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
0.48235,109.69249,332.89,0.39,0.44,2026-01-13,630,N,VIIRS,n,2.0,290.95,4.09,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
0.49267,109.42907,337.32,0.56,0.43,2026-01-13,630,N,VIIRS,n,2.0,291.06,5.8,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
0.51942,109.47147,328.35,0.56,0.43,2026-01-13,630,N,VIIRS,n,2.0,291.38,3.43,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
0.69628,109.56519,331.35,0.57,0.43,2026-01-13,630,N,VIIRS,n,2.0,277.37,5.01,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
0.69415,109.56193,343.43,0.57,0.43,2026-01-13,630,N,VIIRS,n,2.0,278.15,8.26,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
0.69551,109.56008,330.29,0.57,0.43,2026-01-13,630,N,VIIRS,n,2.0,276.83,5.01,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-2.88991,115.26038,303.41,0.52,0.41,2026-01-13,1731,N,VIIRS,n,2.0,278.42,1.2,N,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
0.48181,109.689,341.26,0.39,0.44,2026-01-13,630,N,VIIRS,n,2.0,292.63,4.09,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-2.88885,115.26036,337.58,0.4,0.6,2026-01-13,629,N,VIIRS,n,2.0,290.75,5.77,D,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-0.70922,117.06567,295.6,0.44,0.39,2026-01-13,1730,N,VIIRS,n,2.0,271.18,0.68,N,0,VIIRS_SNPP_SP,,,Kalimantan Timur
-0.70858,117.06168,302.85,0.44,0.39,2026-01-13,1730,N,VIIRS,n,2.0,271.37,0.76,N,2,VIIRS_SNPP_SP,,,Kalimantan Timur
0.69186,117.55151,303.37,0.44,0.38,2026-01-13,1730,N,VIIRS,n,2.0,273.22,0.34,N,2,VIIRS_SNPP_SP,,,Kalimantan Timur
